customer_id;month_of_year;store_id;total_sales
448;9;17;52.97
448;11;17;51.33
448;12;17;30.94
453;1;24;14.98
453;11;24;44.63
454;1;17;89.82
454;2;17;53.35
454;6;17;43.88
454;8;17;38.78
454;9;17;46.01
454;11;17;16.97
456;6;15;44.33
456;8;15;50.82
456;10;15;12.42
457;11;7;17.44
457;12;6;21.61
461;3;11;22.58
461;5;11;2.19
461;8;11;72.72
461;11;11;24.15
461;12;11;57.22
463;1;23;40.50
463;2;23;16.06
463;5;23;14.67
463;6;23;23.69
463;9;23;45.08
463;11;23;31.32
464;10;15;65.44
464;11;15;50.75
465;8;13;7.10
465;9;13;54.97
465;10;13;40.13
465;11;13;111.74
465;12;13;54.39
466;4;6;11.11
466;10;6;42.65
466;11;7;27.26
467;2;13;53.51
467;3;13;17.31
467;5;13;74.56
467;6;13;5.59
467;7;13;37.13
467;9;13;16.72
467;10;13;30.01
471;2;24;18.34
471;8;24;10.48
471;9;24;32.20
472;1;17;10.27
472;5;17;6.92
472;6;17;18.68
472;7;17;12.82
472;9;17;107.80
473;10;11;1.20
475;4;7;27.69
475;11;7;44.76
476;2;6;10.77
476;4;7;44.40
477;1;15;28.47
477;2;15;17.93
477;3;15;38.96
477;9;15;18.46
478;10;24;6.72
478;12;24;32.25
479;1;15;21.90
479;4;15;25.62
479;5;15;28.17
481;3;24;37.08
481;8;24;16.34
481;10;24;39.30
481;11;24;48.26
482;12;24;32.81
484;1;13;77.15
484;2;13;29.23
484;5;13;65.95
484;6;13;23.64
484;8;13;41.68
485;4;15;22.28
485;5;15;49.97
485;12;15;26.17
487;4;7;32.75
487;7;7;25.85
487;9;7;34.38
487;11;7;25.71
488;10;14;13.81
490;1;11;10.38
490;4;11;54.39
490;5;11;47.46
492;3;14;11.82
492;7;14;7.34
493;1;15;8.22
493;4;15;60.37
493;7;15;40.53
495;11;15;26.93
499;1;24;22.35
499;4;24;28.73
499;7;24;30.78
499;10;24;19.64
500;7;7;4.41
500;12;6;11.32
501;5;24;37.77
501;7;24;41.73
502;3;15;45.40
502;4;15;25.80
502;6;15;29.55
504;1;13;27.78
504;2;13;36.94
504;3;13;45.45
504;5;13;6.90
504;7;13;31.23
504;9;13;20.77
504;12;13;40.91
505;3;7;42.96
505;8;7;26.17
505;11;7;38.24
508;1;14;3.76
511;1;16;9.04
511;3;16;43.70
511;4;16;105.86
511;5;16;44.59
511;7;16;34.29
511;8;16;11.27
511;9;16;19.96
511;10;16;69.95
511;11;16;30.47
511;12;16;39.46
512;2;24;42.20
514;10;14;15.58
517;10;7;25.29
517;11;7;20.11
521;6;11;36.30
523;4;6;21.67
523;11;6;33.14
524;6;6;3.98
524;9;7;12.05
524;11;6;5.32
527;1;7;32.07
527;3;7;5.98
527;4;7;20.46
527;7;6;29.05
527;7;7;8.84
527;8;7;38.82
527;11;6;22.56
529;5;24;53.93
530;2;24;39.88
530;4;24;38.96
530;11;24;23.41
532;1;13;23.27
532;2;13;30.02
532;6;13;34.13
532;7;13;11.20
532;8;13;53.63
532;11;13;44.95
532;12;13;4.98
533;11;15;48.86
538;2;11;19.35
538;8;11;49.81
538;9;11;34.79
541;2;24;11.27
541;3;24;47.24
541;8;24;15.81
543;1;13;27.64
543;3;13;13.22
543;5;13;19.74
543;7;13;34.04
543;9;13;27.84
543;10;13;15.40
543;11;13;5.91
543;12;13;6.48
544;7;2;29.25
545;1;13;33.81
545;3;13;3.74
545;5;13;47.06
545;6;13;14.45
545;7;13;47.89
545;10;13;14.94
545;11;13;42.18
547;6;24;21.88
547;8;24;34.61
547;9;24;21.40
548;4;6;12.66
548;6;7;26.31
548;8;7;44.01
551;1;7;12.89
551;4;7;55.23
551;7;6;39.65
552;7;11;27.30
552;11;11;10.95
552;12;11;20.01
553;3;6;26.53
553;3;7;46.93
553;5;6;41.52
554;1;23;27.68
554;3;23;37.55
554;12;23;10.93
557;7;6;19.24
557;9;7;19.78
558;2;11;39.12
558;9;11;20.33
558;12;11;16.70
560;7;24;22.91
560;8;24;34.61
563;7;15;36.06
563;8;15;16.47
565;4;15;38.41
565;6;15;29.20
565;12;15;42.87
566;1;22;8.95
566;11;22;3.24
569;1;23;23.04
569;10;23;66.84
569;11;23;35.80
569;12;23;49.11
570;4;15;42.09
570;5;15;16.66
571;1;3;7.41
571;2;3;46.76
571;5;3;9.96
571;9;3;49.87
571;11;3;31.21
573;6;11;50.73
573;11;11;10.94
573;12;11;10.70
575;2;24;15.54
577;2;24;8.62
577;12;24;34.53
578;4;24;16.82
578;6;24;8.49
581;4;24;27.56
582;5;15;33.42
584;3;24;1.02
587;2;17;72.26
587;6;17;18.80
587;11;17;44.51
587;12;17;18.80
588;1;23;47.85
588;3;23;26.73
588;4;23;31.16
588;6;23;41.05
588;10;23;35.41
588;12;23;79.11
591;4;11;45.80
591;10;11;45.90
593;2;7;19.89
593;7;7;4.92
593;10;7;30.71
594;2;15;4.75
594;4;15;28.22
595;7;24;51.28
595;10;24;11.04
596;11;15;11.62
598;1;6;3.32
598;4;6;5.18
598;12;6;21.63
598;12;7;35.16
599;1;2;10.56
599;10;2;16.14
600;11;7;17.00
601;10;6;34.60
601;10;7;41.66
602;2;17;29.13
602;3;17;19.74
602;7;17;34.97
602;8;17;27.92
602;10;17;43.31
603;2;24;14.70
603;12;24;29.97
604;2;14;29.52
604;7;14;2.58
605;2;7;26.34
611;3;24;23.60
611;4;24;34.09
612;7;22;56.68
612;8;22;17.90
612;9;22;23.82
612;10;22;1.68
614;3;17;31.68
614;4;17;24.14
614;6;17;26.69
614;7;17;8.30
614;10;17;32.48
614;11;17;6.36
614;12;17;36.12
617;3;17;24.39
617;4;17;7.08
617;9;17;8.94
617;11;17;29.06
617;12;17;33.27
619;3;13;37.39
619;6;13;63.67
619;7;13;20.60
619;8;13;37.68
619;9;13;57.67
619;11;13;53.46
619;12;13;69.75
620;9;15;10.41
621;7;11;25.73
621;11;11;37.56
621;12;11;17.51
623;3;24;19.70
624;3;15;13.95
624;9;15;47.21
624;10;15;46.59
624;12;15;1.62
625;1;13;81.29
625;2;13;39.82
625;3;13;27.53
625;4;13;28.08
625;5;13;10.59
625;7;13;52.29
625;10;13;34.35
625;11;13;26.99
625;12;13;19.83
629;4;24;38.51
630;3;24;26.95
630;11;24;18.19
630;12;24;33.21
635;2;15;12.78
636;1;17;8.57
636;6;17;109.63
636;8;17;4.41
636;11;17;30.78
636;12;17;31.03
638;2;11;42.23
638;3;11;42.33
638;4;11;42.58
638;5;11;8.87
638;9;11;10.39
638;11;11;2.36
638;12;11;72.11
641;7;24;23.78
642;1;24;16.05
644;1;13;30.99
644;3;13;40.77
644;5;13;69.13
644;7;13;15.66
644;9;13;95.25
644;10;13;34.68
645;6;11;2.76
645;10;11;16.93
645;11;11;35.93
645;12;11;37.75
647;1;3;52.15
647;2;3;51.99
647;3;3;71.14
647;4;3;34.05
647;8;3;40.80
647;9;3;3.86
647;10;3;20.67
647;11;3;43.39
647;12;3;142.88
650;3;11;32.25
650;8;11;12.73
650;10;11;27.64
651;1;24;49.76
652;3;6;32.34
653;4;6;10.12
653;11;6;46.38
654;12;24;38.60
657;4;7;24.67
657;5;7;13.47
657;12;6;16.14
658;3;7;22.53
658;5;7;36.01
660;6;7;43.30
661;7;6;11.04
661;8;7;20.46
662;9;11;31.13
662;11;11;12.74
663;1;16;44.66
663;2;16;33.97
663;3;16;49.44
663;4;16;29.74
663;6;16;75.69
663;7;16;16.74
663;8;16;27.20
663;9;16;41.47
663;11;16;41.83
663;12;16;51.31
664;1;13;46.02
664;3;13;15.60
665;2;7;19.75
665;5;6;20.28
665;6;6;15.64
665;6;7;2.98
665;9;6;6.40
666;1;24;38.55
666;8;24;34.96
666;9;24;42.22
666;12;24;26.10
669;12;6;43.49
672;8;24;45.11
673;9;11;21.48
673;11;11;36.66
673;12;11;16.38
676;1;7;42.86
676;7;7;22.88
676;9;6;2.01
679;2;7;20.60
679;4;7;37.82
682;7;6;39.99
682;8;6;15.31
682;9;6;28.17
682;12;7;14.35
685;1;15;47.38
685;5;15;39.27
688;5;15;18.47
689;9;24;27.01
689;11;24;4.62
690;6;24;80.71
692;2;11;33.73
693;7;24;65.23
694;10;11;1.48
694;11;11;63.89
697;2;13;36.10
697;3;13;32.93
697;7;13;16.05
697;10;13;24.31
697;12;13;29.92
699;12;24;31.62
702;11;24;45.85
702;12;24;45.17
705;1;6;48.99
705;5;6;99.20
705;6;6;2.52
705;6;7;17.73
705;7;6;52.48
705;12;7;15.29
706;6;6;34.09
707;2;14;0.96
709;1;6;23.90
709;1;7;34.00
709;4;6;45.28
709;6;6;27.25
709;8;6;42.78
709;11;7;12.88
710;7;15;24.51
710;12;15;30.60
711;1;17;38.74
711;2;17;23.18
711;3;17;48.68
711;8;17;32.41
711;9;17;21.32
711;12;17;14.25
712;2;6;8.16
714;11;22;22.53
717;2;6;23.29
717;8;6;39.37
718;3;15;13.89
719;2;15;14.04
719;3;15;15.55
720;1;24;45.65
722;1;24;47.13
722;2;24;29.45
723;3;6;17.72
723;6;7;38.75
723;9;6;14.73
726;5;15;75.86
727;10;6;20.29
727;12;7;15.06
729;12;24;62.28
730;1;7;47.68
730;2;7;26.81
730;4;7;47.33
733;4;24;77.19
733;9;24;13.43
734;7;7;21.75
734;8;7;11.24
734;10;6;19.37
734;10;7;34.42
736;11;2;11.28
739;2;23;82.05
739;4;23;39.10
739;7;23;33.83
739;11;23;13.14
739;12;23;176.80
740;1;11;24.06
740;6;11;15.36
741;8;24;39.16
741;9;24;20.99
742;6;15;51.52
745;2;15;14.20
745;7;15;15.93
745;12;15;47.39
746;3;7;23.86
746;7;7;25.84
747;3;24;33.72
747;10;24;43.54
748;4;24;11.33
748;9;24;16.18
750;1;13;21.86
750;3;13;52.18
750;5;13;19.33
750;6;13;34.69
750;8;13;58.38
750;9;13;19.20
750;11;13;15.03
750;12;13;12.29
751;3;7;20.31
751;6;6;52.86
753;1;3;73.59
753;2;3;32.53
753;6;3;24.44
753;7;3;12.65
753;11;3;23.13
754;1;3;40.96
754;4;3;66.04
754;5;3;25.63
754;8;3;109.11
754;10;3;7.95
754;11;3;29.44
754;12;3;21.60
755;9;6;35.20
755;12;7;14.64
757;2;15;58.26
757;5;15;47.81
757;10;15;32.63
758;1;22;11.73
758;4;22;13.35
758;5;22;26.23
760;1;3;37.71
760;2;3;8.76
760;3;3;86.84
760;4;3;73.33
760;6;3;15.51
760;7;3;73.34
760;9;3;25.69
760;12;3;63.06
763;1;6;19.43
763;6;7;11.93
763;7;6;33.70
764;6;6;30.91
764;7;6;37.44
766;12;15;28.30
768;10;15;30.56
769;1;16;80.29
769;2;16;105.73
769;3;16;19.58
769;4;16;92.55
769;5;16;98.52
769;6;16;27.38
769;8;16;22.80
769;9;16;136.71
769;10;16;20.25
769;12;16;128.42
770;3;17;7.30
770;7;17;8.64
770;8;17;25.52
770;10;17;72.05
771;3;15;5.82
771;6;15;22.32
771;8;15;41.93
771;10;15;17.64
774;3;15;23.01
774;12;15;48.70
776;11;24;67.86
778;3;15;78.59
778;12;15;39.04
779;10;15;31.49
780;1;13;90.68
780;3;13;33.65
780;4;13;44.56
780;7;13;41.34
781;6;24;17.10
781;7;24;42.32
782;3;17;48.50
782;7;17;7.56
782;10;17;84.55
783;5;11;44.56
783;11;11;13.00
785;5;15;29.89
785;11;15;22.07
786;2;15;8.32
788;6;15;27.96
788;8;15;15.80
788;9;15;8.56
790;2;13;34.77
790;5;13;41.59
790;7;13;38.46
790;8;13;3.88
790;12;13;37.77
792;5;6;23.86
792;7;7;50.10
792;9;7;51.47
795;12;14;18.36
796;12;24;18.84
797;8;6;27.33
797;12;7;44.85
801;7;7;43.43
801;12;7;33.33
803;3;6;23.59
803;5;7;34.42
803;12;7;29.01
805;3;7;1.76
805;9;6;25.89
806;2;17;95.50
806;3;17;31.05
806;4;17;31.18
806;8;17;36.67
806;12;17;15.08
808;5;15;9.42
808;10;15;34.73
813;1;11;47.44
813;3;11;38.97
813;12;11;70.72
816;8;6;39.92
817;1;17;46.46
817;4;17;24.20
817;7;17;13.27
817;8;17;23.67
817;10;17;97.50
819;1;13;17.96
819;2;13;31.06
819;3;13;59.91
819;7;13;119.72
819;11;13;4.26
819;12;13;35.80
820;4;24;36.56
820;12;24;11.99
823;1;24;19.34
823;4;24;32.79
823;5;24;27.16
823;9;24;23.13
823;11;24;29.68
827;4;24;26.45
829;12;24;19.14
830;2;15;55.30
830;5;15;16.19
830;7;15;18.50
830;12;15;17.39
831;4;15;15.18
831;11;15;13.43
834;9;24;43.56
837;1;11;1.26
837;7;11;49.68
837;12;11;11.12
839;2;7;36.17
839;5;6;7.18
840;4;6;42.66
841;11;14;16.25
842;11;15;24.39
845;4;6;26.85
845;10;6;43.83
845;11;7;8.16
845;12;7;25.23
846;5;24;31.50
846;6;24;24.50
847;3;15;13.78
847;10;15;39.98
849;8;6;25.15
849;8;7;47.50
849;11;6;63.64
852;10;15;42.95
854;3;2;8.87
856;3;11;51.73
856;6;11;16.02
857;7;7;40.56
863;1;17;91.61
863;3;17;48.53
863;6;17;54.77
863;7;17;14.32
863;8;17;45.22
863;10;17;15.54
863;11;17;18.72
863;12;17;54.72
864;1;24;28.86
864;11;24;45.88
868;4;6;14.44
868;8;7;28.62
868;10;7;19.41
868;11;6;24.55
868;12;7;33.96
870;4;24;21.49
870;5;24;32.60
870;6;24;73.48
870;9;24;43.83
873;2;24;51.64
873;3;24;46.41
873;5;24;15.25
873;11;24;50.83
873;12;24;22.57
874;4;6;52.73
878;1;3;101.98
878;2;3;17.51
878;5;3;34.80
878;6;3;101.03
878;7;3;59.52
878;8;3;40.06
878;9;3;75.59
878;10;3;40.98
878;12;3;83.77
879;2;7;83.01
879;10;6;3.30
880;1;11;14.44
880;2;11;49.81
880;11;11;7.56
881;3;24;20.49
881;11;24;1.86
882;12;24;61.87
886;2;15;30.88
886;6;15;42.79
886;7;15;56.12
887;4;14;19.26
887;6;14;23.65
888;5;24;9.42
891;5;6;18.52
891;8;7;24.85
891;12;6;33.42
892;2;7;48.22
892;12;6;23.56
893;1;13;92.74
893;2;13;8.78
893;3;13;64.48
893;7;13;22.60
893;8;13;21.34
893;9;13;75.02
897;8;6;12.56
897;8;7;11.40
897;11;6;36.59
897;12;6;25.30
898;12;7;33.54
899;11;14;25.13
900;9;24;31.39
901;2;13;17.69
901;3;13;7.74
901;4;13;83.88
901;5;13;10.56
901;6;13;14.19
901;7;13;23.48
901;8;13;6.84
901;11;13;45.37
903;2;24;27.73
905;5;3;54.63
905;6;3;100.44
905;7;3;42.05
905;8;3;15.63
905;10;3;15.64
905;11;3;73.96
905;12;3;18.13
906;4;24;23.50
906;11;24;23.59
907;1;7;43.39
907;2;7;16.23
907;5;6;41.84
907;6;6;47.84
907;7;6;40.11
907;9;7;26.39
908;11;11;24.30
909;5;7;30.20
909;11;6;30.01
910;7;15;48.41
910;9;15;38.72
916;2;6;27.53
916;4;7;26.10
916;8;7;19.90
916;9;7;32.84
916;10;6;15.10
916;12;7;27.71
917;7;7;37.88
917;9;7;46.41
921;1;23;9.44
921;3;23;11.13
921;5;23;42.47
921;6;23;157.63
921;7;23;36.41
921;9;23;49.77
922;7;7;33.78
923;3;15;42.76
923;4;15;14.92
923;7;15;36.29
923;8;15;34.66
924;1;3;23.05
924;2;3;52.87
924;3;3;54.51
924;4;3;23.34
924;6;3;55.45
924;7;3;24.30
924;8;3;19.24
924;9;3;88.93
924;12;3;51.37
927;2;6;44.39
927;7;7;28.36
927;9;6;26.46
927;11;7;29.74
927;12;6;51.41
928;3;15;26.08
928;5;15;3.72
929;5;24;22.92
